"Gene","BRCA","COAD","KIRC","LUAD","PRAD","MeanDecreaseAccuracy","MeanDecreaseGini"
"gene_7964",0.127328289722785,0.0850584127413205,0.0682718965762485,0.0492953649787999,0.00781535428726979,0.0780805806872478,39.2397646344183
"gene_18746",0.0697594794730372,0.10227860022096,0.0650660795919593,0.0899028689840175,0.0417550265651673,0.070852644417871,54.4963538766
"gene_15898",0.00930195010050485,0.0397906507057651,0.0114495205669011,0.264703324347662,0.0266889925830056,0.0609951298517209,35.1625860815581
"gene_9175",0.0179556286997323,0.0351709938129911,0.0173761272347087,0.031930272168748,0.208233875255161,0.0538265194396398,29.8234842236076
"gene_9176",0.0118426934012986,0.0376723461578831,0.0180325602652808,0.043759861094707,0.204528400630266,0.0536657892368008,32.017761966953
"gene_17801",0.0777161900801487,0.020765019261265,0.013508521542942,0.0406833478442582,0.0351658426311243,0.046805945873026,31.4680910887635
"gene_18135",0.0171432211208749,0.0278332010898351,0.0142364287442216,0.02143543600271,0.173412704569376,0.0452541082434308,23.8779442943358
"gene_6733",0.0162130472425791,0.0377835908978487,0.138178129362494,0.0323877233455983,0.0242081623581089,0.0449170979766337,28.8419469130253
"gene_3737",0.0114777831326733,0.0325260789021461,0.00990997327490692,0.0256694799272853,0.155623161878174,0.0400114397004854,23.8734765644232
"gene_15895",0.0110973258725488,0.021467368495823,0.0148866810809923,0.126399611498472,0.0118835471564691,0.0332205118168099,21.2222498844271
"gene_3523",0.00317915690733065,0.270159073221598,0.00320125165367543,0.0225903949496779,0.00446848589674489,0.0322450325323763,19.7515869000232
"gene_220",0.00771071199105801,0.0246200727262219,0.0995187063406038,0.0229634731801051,0.016788471453312,0.0300901555746957,19.8297846868532
"gene_219",0.00724885520460746,0.0243468676076168,0.0984602608353051,0.0240534642631353,0.00877856075959413,0.0287180567486646,17.9404222919898
"gene_13818",0.00625722490417967,0.0178347394868412,0.0976048063500877,0.0264660080936954,0.0127723858482662,0.02868104344068,19.5863127813296
"gene_3439",0.0152416628552539,0.0154456140113581,0.0751256056955423,0.0148310270098824,0.0158631468306808,0.0260934901541685,17.3097251023229
"gene_6876",0.0204651440939782,0.0641146847298468,0.0106201712734308,0.0412202836893035,0.0130837395764389,0.0251899891365196,25.6469040531917
"gene_2037",0.00279961178151233,0.221977702795651,0.00217366434613569,0.00600830169684131,0.00469309407612897,0.0248327746265533,15.7242412368441
"gene_9652",0.0191165474128116,0.0482374819698872,0.0412973197979639,0.0135236404821094,0.0112543470148503,0.0235625097769338,21.4208426014204
"gene_12808",0.0067438015165486,0.0172405515387736,0.0739047818101533,0.0107747475333324,0.0119564489747823,0.0214445345582366,13.5430573792916
"gene_6748",0.022209644950775,0.0632908390937861,0.00299410871996131,0.0129059546411762,0.0223860355892016,0.0211222492489078,20.5273825970154
"gene_14114",0.00508120646261875,0.0107528132040906,0.0588449745018249,0.0130261477531293,0.013062528558562,0.0181566907925386,15.1853812357555
"gene_15589",0.00453574865151667,0.0364033052911748,0.00818832183818251,0.0315875074757128,0.0180359308240189,0.0153809143661378,18.7680641824344
"gene_5578",0.0299369416306585,0.00237953961288406,0.000847446792713713,0.0140785839935965,0.0057998796600635,0.0150413834672622,7.67811290069822
"gene_10460",0.00105262425554658,0.102448176205823,0.00229833622862615,0.0211036100092536,0.000492756408196493,0.0143137235585707,12.0405548306091
"gene_14092",0.0144052017720893,0.00585083049077064,0.00457037908625742,0.0180356399335511,0.0136648178272524,0.0124046247809322,15.5957178414387
"gene_12848",0.00203888608803903,0.0160657959752634,0.00366941986993267,0.00418822349325765,0.0363319720651955,0.00999728465945402,11.3955084735529
"gene_2747",0.00476296696522636,0.023626911951463,0.00275935805306636,0.00402674134049352,0.00396284660162449,0.00598916980833802,6.71666633977388
"gene_9713",0.000392942157940423,0.0037850469823535,0.00271420600615996,0.0156651692258714,0.00281621247223414,0.00422691782639764,7.19512122960305
